,text
88,@RWPUSA But we have money FOR the wall. They are reprogramming it from FEMA hurricane prep and response right before #Harvey.
89,"Maybe if @MitchLandrieu had spent money on drainage pumps instead of Confederate Statue removal, #NOLA would be better prepared for #Harvey"
90,"Lack of money, lack of transportation, not thinking the storm will be as bad as they say, thinking they can withsta… https://t.co/XfQZOfnfYT"
91,On the money. But since the cable nets aren't mentioning the #Harvey I guess it's not really happening right? 🌧💨🌊 https://t.co/EVnipFAfcs
92,"#Harvey
Bet y'all your demigod Trump already put money elsewhere so that when this hits, y'all have nothing. Did you defend him against..."
93,Will Trump withhold #Harvey federal money until he gets his wall from Republican congress? Texas will turn blue if he does.
94,"#Harvey
Hope those Texas Republicans don't use any government services and money. Oh, wait, those are the ""deserving"" citizens."
95,"Heads up Houston, North Carolina was refused over 90% of the hurricane relief money they requested, so . . . good luck. #Harvey"
96,"Damn it's going to be a slow weekend, weekends are when I make money. Go away #Harvey"
97,"In a battle between Texas Linemen and Tropical Storm Harvey, our money is on the Linemen! Stay safe guys!… https://t.co/1gSdUJ2d9s"
98,"Got a new crib, inside so dumb; Got some money put away case the hurricane come 🎼 @LilTunechi #Harvey"
99,"Already sick of your bullshit, #Harvey. Can't spend any more money fixing this house this month. https://t.co/wEY0fAsxoC"
100,WOW . #Harvey would give Allison a run for her money.  HOLY EPIC FLOODING. image courtesy of @TropicalTidbits https://t.co/CgWsGOI321
101,Please don't waste your money giving to @RedCross. Give to legit charities like @Mercury1Charity  &amp; @SamaritansPurse. #Harvey #Texas
102,"@billprady You are wonderful. Thank you! 2) @realDonaldTrump, forget the wall. Use that money to help rebuild the a… https://t.co/4Th2RS3yxA"
103,@realdonaldtrump how about coughing up that wasted 29 mil of taxpayer money to red cross? Lets see you tweet that!… https://t.co/FruDpkkmSD
104,JJ Watt raising money for those affected by #Harvey in Houston. https://t.co/P0rHhI6hwg
105,All of these country artists donating money for those suffering from #Harvey and the flooding is why I love country music. #Houston
106,"Hey @realDonaldTrump, let's spend the wall money to help the people of TX instead! #Harvey @billprady"
107,@billprady Hey @realDonaldTrump why not reallocate that money for the wall to help Texas? #Harvey
108,@billprady Remember #Haiti #redcross is shit #harvey money elsewhere
109,@realDonaldTrump how about U take that money U plan on spending on that damm wall &amp; instead give it to those in Texas affected by #Harvey?
110,"@billprady @realDonaldTrump, America wants Mexico wall money spent on #Harvey relief in Texas. #TXnotWall https://t.co/cPA9F34Kie"
111,Use wall and foreign aid money to rebuild #Harvey Texas damage @RepRatcliffe @tedcruz @JohnCornyn @replouiegohmert
112,"Where's all the oil money, TX? Shouldn't you be using that to protect yourself from the climate change horror you b… https://t.co/hiW8NIJvXm"
113,Stop the news/entertainment!  So much money goining into broadcast.  Help people! #Harvey
114,"Hello @RedCross - how can I donate some money from Germany? Thank you.
#Harvey"
115,@realDonaldTrump Give whatever wall money is available to the people of TX to help them recover from #Harvey - it's the right thing to do.
116,Not watching the #VMAs yet I hope they flip the script and leverage the airtime to raise money for #Harvey
117,"The saddest yet realist response to the question, ""Why didn't you just evacuate?""

""We didn't have the money."" #Harvey"
118,"@billprady @realDonaldTrump - respectfully, the Wall is a ridiculous expenditure. Spend that money on rebuilding fr… https://t.co/7YsYCbyEry"
119,"@realDonaldTrump Hey Mr Billionaire President, Spend money to fix Houston &amp; the Gulf Coast, not your stupid wall.… https://t.co/iLDQlw1AxZ"
120,"Our money should be directed to #Harvey flood relief efforts, not a useless wall. https://t.co/L5p9eNdZLs"
121,#Harvey Portland Oregon let's make Houston proud let's raise the most money for them?😎😎
122,#Harvey West coast let's see what city can raise the most money for Houston.
123,#Harvey let's see what west coast city can raise the most money. https://t.co/aJ6hTRKEtJ
124,@realDonaldTrump Spend the stupid wall money on helping Texas recover from #Harvey! Everyone else is giving. Text H… https://t.co/lTv9o4L7pO
125,"https://t.co/oOgv5HXmwl
#houstonflood #houston #flooding #flood #Harvey #Harvey2017 

I have no access to the money… https://t.co/j4e8WDqPb2"
126,@realDonaldTrump  The money you want for your wall would be better used to help Texas recover in the aftermath of #Harvey. Do it.
127,"#Texas doesn't need a visit from #Trump They need money, help, resources, shelter.Stay home #ConManInChief #Harvey… https://t.co/Eh28BuilF7"
128,@realDonaldTrump  donate wall money to help #Harvey victims @billprady https://t.co/o8xTa9FG6G
129,"@billprady Hey @realDonaldTrump, America wants Mexico wall money spent on #Harvey relief in Texas. #TXnotWall https://t.co/T73wJT4dDM"
130,All of my heart and prayers are in #Houston tonight. I wish I had all the money in the world to give but even that… https://t.co/2fRlnw0hZG
131,"I was going to donate to the #RedCross for #Harvey, but used the money for this fine book instead! https://t.co/0rQPVj64XG"
132,@realDonaldTrump How about we forget about throwing away good money on this ridiculous wall and use it to help Texa… https://t.co/PIoZhNNkJ5
133,"@realDonaldTrump Spend the money for ur stupid wall, which would have been destroyed by #harvey anyway,  on helping people in Texas."
134,@tribelaw Salvation Army a great place to donate money for #HARVEY disaster relief. You can designate to local chapter
135,".@realDonaldTrump That ridiculous wall money should go to TX for rebuilding!

Tee: https://t.co/bfuo9ld9YE

#Harvey… https://t.co/LP7AYbq7uz"
136,"This entire thread is useful and informative, but here are specific tips for donating money to people affected by… https://t.co/NkAyorTlGs"
137,"Remember they can really use your money more, and better, than your stuff. #Harvey #RedCross"
138,The wall money can pay for #Harvey. https://t.co/faLZFoUxng
139,"Okay everyone let's show how awesome our community is and raise some money for the victims if #Harvey 
https://t.co/T8BzVg2zN4"
140,Don't trust your insurance carrier. You want to get back to normal. They want to keep your money #Harvey #Floods @Foremost @WeAreFarmers
141,#Texas needs $; if only we had a President that wouldn't mind doling out money to someone ELSE besides himself and his businesses.  #Harvey
142,@fema are you donating money to people effected by the floods? Lord knows we will need it. #houstonflood #Harvey
143,@realDonaldTrump please spend 'wall' money on texas to unite and heal rather than divide. #harvey
144,Another option is this national fund that will funnel money into local orgs that can use it on the ground #Harvey  https://t.co/H8ExQ1GXPI
145,@realDonaldTrump Spend money for the damn wall on people who need it #Harvey Be a human
