,text
78,Harry Potter Marathon with some of the finest freezer aisle finger-food snacks for the weekend!! 🤣🤗 #Harvey… https://t.co/KI8t1tr9Ru
79,Reports of chasers &amp; even TV crews looking for food &amp; gas.  Alarming how the advice to be self-sufficient either missed or ignored #Harvey
80,I finally left the house to get some food and coffee! Now I'm back home with #Harvey on the web and football on the… https://t.co/R0VE4JDuCc
81,It's pretty cool to see all these local people taking care of the news broadcasters and storm chasers with food and shelter. #harvey
82,out in search of food and instead we found broadway almost completely flooded out. Gas station sign tells it all… https://t.co/BKTtI1RGYC
83,"#atx wind gusts substantial, ground saturated, still raining, flooding emminent #harvey #inland (we safe up on hilltop w/food/water/pwr)"
84,Comfort food #harvey. https://t.co/F3H2ssxnYs
85,"Guess what fills these shelves. The next picture is comfort food! Yum! 
.
.
#rekip7plus 
#harvey… https://t.co/6mkQhhn9RC"
86,"I hope @realDonaldTrump really is prepared, it could be another Katrina #flood and food and water shortages like then. #harvey #HarveyStorm"
87,". Clothing, food and supplies are NOT the items to donate to help folks affected by a disaster. #Harvey #Harvey2017"
88,"Seriously, #Austin? We've wiped out the bottled water and most of the food at #HEB. I guess we were preparing for the #apocalypse. #harvey"
89,This dog is walking around Sinton TX carrying a entire bag of dog food with him. #Harvey #Harvey2017 #Priorities… https://t.co/gxdTyi3cFq
90,Just went to the grocery store and bought way too much food. Trying to prepare for the next few days- in case we get flooding. #Harvey
91,"Before I go to sleep...

Send money, food, water, diapers.

#HurricaneHarvey #Harvey"
92,"@FoxNews food, food, food, water, water, cooling centers and clothing. Legal/insurance aid too. #HurricaneHarvey #Harvey (3)"
93,"@FoxNews nd has and oil. That's shelter, food, clothes and rescue and counselors and insurance assistance, security… https://t.co/cAnYt4XNoN"
94,"Acadian is sending fuel, food, water, medications &amp; cots to our various staging areas in Texas.  We are ready to respond!  Hurricane #Harvey"
95,"Acadian is sending fuel, food, water, medications &amp; cots to our various staging areas in Texas.  We are ready to respond!  Hurricane #Harvey"
96,"Acadian is sending fuel, food, water, medications &amp; cots to our various staging areas in Texas.  We are ready to respond!  Hurricane #Harvey"
97,"Acadian is sending fuel, food, water, medications &amp; cots to our various staging areas in Texas.  We are ready to respond!  Hurricane #Harvey"
98,"Acadian is sending fuel, food, water, medications &amp; cots to our various staging areas in Texas.  We are ready to respond!  Hurricane #Harvey"
99,Top nonperishable food items to help you prep for the storm: https://t.co/ygdHyDShtu #Harvey #HurricaneHarvey https://t.co/AKfxfq6CWH
100,"Amazon + Whole Foods = data, not food.  https://t.co/qZyJytD8I4. #wholefoods #farm #food #america #snowflake #recipe #blog #harvey"
101,"Want to help out in the wake of #Harvey?
Other than food &amp; medical supplies, contribute to turning Texas Blue.
GOP… https://t.co/qCHh1tWOMI"
102,Water boiling in effect for Corpus Christi and hotel is running out of food #Harvey https://t.co/njsL0GWMGH
103,"A lot of people will/should be throwing away food
Food in powerless refrigerator is safe for no more than 4 hours… https://t.co/z1MqoLuaoN"
104,There are no fast food drive thrus open the morning after a hurricane. #Harvey
105,Starbucks in Midtown and Shepherd closed. @wmhtx OPEN #Harvey #morningcoffee #hounews #houstonfood https://t.co/pXXmsVGUzG
106,"We will be closed today, eat all your hurricane food #harvey"
107,"If u want to help: donate to #RedCross #UnitedWay #SalvationArmy Do not send toys, clothes, food. It gets warehoused &amp; doesn't help. #Harvey"
108,Hope they restocked the food and drinks on this ship #cruise #harvey https://t.co/k8oHNznLA5
109,Stone Soup needs ready-to-eat foods for the homeless. Need likely to increase after #Harvey. See details or donate:… https://t.co/ZsLUqZMQH4
110,"@realDonaldTrump @ChuckGrassley @fema was in TX before #Harvey was with fuel, food &amp; a multitude of resources. What… https://t.co/lwCAOnHP0X"
111,"It's 2am.

Trying to decide: sleep or food? 
#HurricaneHarvey #prayfortexas #Harvey"
112,Honestly tho this #hurricane is really scare imma be honest plus there was no more food left at heb earlier 🙃… https://t.co/kTC1yDWFUP
113,Hurricane food.... #Harvey #Houston #Skewston https://t.co/zmQMINskks
114,"Happy to host 71 students &amp; 1 dog from @AggiesByTheSea in College Station 4 shelter, food, &amp; supplies in the midst of #Harvey. #AggieFamily"
115,"During #Harvey and its apocalyptic aftermath, Trump White House has OKed ""listening to the experts"" and food drop info from ""Fake News"""
116,"Praying for all affected by Hurricane Harvey, safety, food, water, power. #Harvey #SAFETY"
117,"Basically your selection if you tried to grab food at the grocery store #Harvey
https://t.co/CKBFbV54gY"
118,Sasquatch. Big Foot. Yeti. #marathon @NatGeo #Harvey was a no show. We're just gonna sit here &amp; eat all of our #HurricanHarvey food.
119,"@deidakkaalti @pavakkai You guys good down there? My house is open for you, provided you bring food along🙄 #Harvey"
120,shout out to @WithADropOfHate for keeping me company during #Harvey and buying me food 😭😭 it says hate yet shes so… https://t.co/wvVITKtDI1
121,"Live from Houston, footage of my roommate bringing back food from @ChickfilA #Harvey https://t.co/eEqdcxHPUv"
122,Send cash not food and supplies. More efficient to purchase locally than shipping items that might not be needed or… https://t.co/n2WO5gWJSa
123,How I'm preparing for #Harvey 🌫🌪here in Houston Texas cooking food for days on my @TraegerGrills #BeSafeMyFriends #… https://t.co/NyEcMXPmuX
124,"We're asking the Community to support @safoodbank w/Food, Funds, &amp; Volunteers. Complete info+links=&gt;… https://t.co/bYShPKK8OF"
125,"Angel had me go with him to WalMart just to buy junk food using the excuse ""what if this is the last time we are able to eat this?"" #Harvey"
126,"#BePrepared to #evacuate w/#pets. Take #pet food, leashes, papers relating to vaccines &amp; microchips, crates, water, medications. #Harvey"
127,"For those that still can, fill ur bathtubs w/water, conserve food &amp; water &amp; help ur neighbors. Stay safe &amp; watch downed power lines. #Harvey"
128,Help my grandfather went out to buy food for the hurricane and not to return. #Harvey #Texas https://t.co/qauFvhW1el
129,"-hoping that #Harvey is very close 2 landfall in #corpuschristitx Coastal bend area. Pre-prepared, boarded up, have plenty water, food &amp; --"
130,Comfort ye my people! #Comfortfood #Harvey https://t.co/KJcaepS9D9
131,"Reminder: 

""Thoughts &amp; prayers"" is a lazy way of showing you care. It does nothing. It means nothing. 

Send money, water, food. #Harvey"
132,Journalists prepping for #Harvey: Generators. Sleeping bags. Trucks full of food and other supplies https://t.co/Pe0j8k3zbX
133,"Ech... #Harvey is a category 4 now. Yikes... We're in the house now, we got most of our food/supplies. Nobody had batteries or candles.."
134,When you're eating all the non-perishable food items before #Harvey even makes landfall... #sorry #ilikebeefjerky
135,Praying for all friends &amp; family in #Texas. #Harvey is expected to hit around 1AM. Take precautions with food and water reserves. Be safe!
136,Top nonperishable food items to help you prep for the storm: https://t.co/ygdHyDShtu #Harvey #HurricaneHarvey https://t.co/Wjl86SO0AD
137,Anyone wanting to donate diapers and food to Hurricane Harvey evacuees should bring the items to the Food Bank NOT the shelters. #Harvey
138,Anyone wanting to donate diapers and food to Hurricane Harvey evacuees should bring the items to the Food Bank NOT the shelters. #Harvey
139,I live in texas and im scared i barely have any food (I have cookies) #HurricanHarvey #HurricaneHarvey #Harvey2017 #Harvey
140,"Brownsville moms: *buying 20+ sandbags, buying 50+ canned foods, prepping for hurricane #Harvey to destroy the city… https://t.co/Dbl7BE17nQ"
141,"Grocery store was full of people buying water, toilet paper, &amp; frozen food to get ready for #Harvey !  Told my wife… https://t.co/9TzzdGzLGd"
142,Ever seen grocery lines this long? At least there's still food! #HEB #hurricaneharvey #Harvey2017 #Harvey https://t.co/mwH17h5Q4n
143,"Beer is “basically a food group,” according to one Houstonian preparing for #Harvey. https://t.co/UoAGXcoNIJ"
144,"Anyone else stock up on so much junk food, they forgot that actual meals need to be consumed? Pringles and ranch sandwiches it is. #harvey"
145,"After helping me prep all day, I made some comfort food for mightymouseop and me. #Harvey @… https://t.co/YAPetYv5cC"
146,All my beer and food is going to be gone before #Harvey hits! 😩
147,"Moms never waste food! Starting at 4 PM, all our TO GO orders will be 50% off! Call us or use @Favor and eat fine w… https://t.co/R8HMi6TpFn"
148,"Out delivering food, water, &amp; supplies to my most vulnerable constituents before #Harvey lands. #TeamThierry… https://t.co/AHJheXzagk"
149,If #harvey knocks out highrise elevators: put 1 relay person volunteer on each floor to pass food/water up to shut-ins.
150,"All ready for Harvey, food, water, and cocktails, no need to leave the house for a few days!!! Prayers to all #harvey #hurricane #rain"
151,"Out delivering food, water, &amp; supplies to my most vulnerable constituents before #Harvey lands. #TeamThierry… https://t.co/jUNpAj5Pin"
152,Friend just shared that Houston grocery seafood counters discounting lobster in anticipation of power outages. Because priorities. #Harvey
153,Grocery shelves in Houston. @realDonaldTrump can you confirm @fema already mobilizing to get food/water/shelter to… https://t.co/bvg6wHfCmD
154,"A little #fbf meme for #hurricane #harvey #jamesfranco #foodie @ Houston, Texas https://t.co/kbiJW9eqB1"
155,"If you have to shelter in place, Store 7-14 days of food &amp; water. https://t.co/PqOGUrFT5K #DAFN #hmrd #Hurricane… https://t.co/OJsLNNTqNn"
156,"If you have to shelter in place, Store 7-14 days of food &amp; water. https://t.co/K0Cq6ko9Ya #DAFN #hmrd #Hurricane… https://t.co/Ln6vCdrs2o"
157,"If you have to shelter in place, Store 7-14 days of food &amp; water. https://t.co/q2Fuj9epzA #DAFN #hmrd #Hurricane… https://t.co/d7Wd9JcSQn"
158,"Q: Does Prime Now have diapers?
A: Yes tons and tons of 'em (cheap price too).

Q: Do they have baby food?
A: Yes.

#Austin #Harvey"
159,Please stay safe. Fill up your tank. Take shelter and secure your animals. Stock up on food and water. #harvey… https://t.co/REFRLNYm6K
160,#NewsFix &amp; @yolonda: DFW has help for #Harvey 🌊💪 + M3.1 #earthquake hits 😲😳 + Fast food+organic+vegan+integrity 🍴❤🙌… https://t.co/Pzy7lzwH0L
161,"Still prepping for #Harvey? When it comes to food, get creative. Some info from @kroger #khou11 https://t.co/AwGjco00q5"
162,How #restaurants should prepare for #Hurricane #Harvey https://t.co/TYvF8XL5cF #restaurantnews #foodTech https://t.co/CnMHoH7rwM
163,"#KHOU11 is busy w/ #Harvey, which means we can't run to stores. Just got dog food for a producer since I'm out cove… https://t.co/eyaWOPRrXK"
164,"@realDonaldTrump has built tent city's on all his adjacent properties, donated food/water, &amp; volunteered his courtesy vans...NOPE 👎🏽 #Harvey"
165,Remember food safety during Hurricane #Harvey. Tips below. #DFPS https://t.co/CfV40BLSrp
166,"Are you trying to weather the storm? Below are some healthy food options to get you by: 
.
.
#HoustonHeart… https://t.co/JDcwkj1zpQ"
167,We'll be here til we can't open. Dine in with us or pick up some food to-go. Stay tuned for our menu of JTR family-… https://t.co/i5GDZyOwc0
168,Take #foodsafety precautions before Hurricane #Harvey hits. Have these supplies on hand in case the power goes out:… https://t.co/nu5IvcWTjh
169,"ICE and CBP won't conduct ""non criminal"" enforcement at evac centers/food banks. 
#immigration #harvey https://t.co/jzjyyBYo4Y"
170,As seen in #BlessingTX: cat food 🐱sandbags. #dowhatworks #QuiltStore #Harvey #TXtour #abc13 https://t.co/KZF9okJrgy
171,"If you’re evacuating #Texas with your pets, please remember to pack their food, bowls, toys, beds, kennels, and water. Be safe. #Harvey"
172,"If you’re evacuating #Texas with your pets, please remember to pack their food, bowls, toys, beds, kennels, and water. Be safe. #Harvey"
173,"Everyone is panicking, meanwhile mom and I are driving all the way to south Houston to get food from our fav taco truck #priorities #Harvey"
174,Customers at Canseco's say they'd rather be safe than sorry so they're getting water &amp; food ahead of #Harvey https://t.co/nsyFeHoeTF
175,What you dont realize is people are actually clearing HEB &amp; Walmart shelves of food/water to prepare for Mayweather v. McGregor. #Harvey #TX
176,#NewEngland #Weather @SocialNewsCorp https://t.co/k7CK1DUbYS #vermontfood #harvey
177,Quedan muy pocas tiendas abiertas en Corpus Christi antes de #Harvey. En este foodmart no paran de vender cervezas… https://t.co/pOnHUvQDAF
178,".@fema is placing generators, food supplies, water and blankets at strategic locations in preparation for Hurricane… https://t.co/5ohpO0aWHt"
179,Drank? ✔️ food &amp; water? ✔️ ammo? ✔️ BBQ pit? ✔️ tub fulla h20? ✔️. Fishing waders? ✔️.   Let's do this shit #harvey
180,"Don't let #Harvey stop the fun. Here's where where you can find drink, food specials from @thecatfive https://t.co/fbKpAfpTId"
181,"Imagine if central planning were used to distribute food, water, fuel, and supplies right before a big storm like #Harvey.   Freedom works."
182,"I'm read for #harvey Got food, water, money, back up electricity, Kayak is ready, guns locked and loaded #bringit #butnottoomuchpls"
183,I checked on Nichelle and her elderly relatives. They already had food stocked up because that's how they are.  Texans stay prepped. #Harvey
184,I broke down and bought hurricane provisions...chips. I bet the health food aisles are full but chips were hard to come by #harvey #hunkered
185,#Harvey  #foodsecurity https://t.co/EThTeG2fDt
186,"MT: @USAgov If you lose power in Hurricane #Harvey, food safety tips from @US_FDA https://t.co/bD78RoCCQ5  https://t.co/qx7QAlxtR1"
187,"Well, we have food and water to last until mid next week, let's hope we don't have to evacuate our home... #Harvey https://t.co/Y5QKeWoOXo"
