,text
117,"Donate whatever you can: Food, blankets, diapers, clothes, pet food, leashes, bowls.. you name it, Texas needs it! #Harvey #AmericaFirst"
118,"More people at @GRBCC shelter, @HaleyKPRC providing the update on clothes, etc on @KPRC2 #Harvey https://t.co/sHoBUP2R2w"
119,"#Houstonconventioncenter gives refuge to #Harvey survivors - ABC News - https://t.co/BiUxNDGi0p via @ABC #donate food, clothes, &amp; diapers"
120,Does anyone know where to send clothes and/or supplies? #Houston #HurricaneHarvey #Harvey
121,"There are families who need clothes, baby food, and money. TYPE THAT.  instead of  BS about Monday morning BQ of hurricanes #Harvey"
122,"Here's link to donate for clothes and supplies for children in the Houston area, read link

https://t.co/hXW7KFM0JH 
#Harvey #houston"
123,#springtexas neighbors our #faithbridgechurch @18000 stuebner airline need supplies 4 evacuees. Blankets clothes personal hygiene #harvey
124,Does anyone know if GRB is in need of adult clothes in addition to baby clothes? Or is there a GRB shelter list? Links appreciated. #Harvey
125,Consider donating to support the victims of Harvey. The Houston Mayor says that people need everything from clothes… https://t.co/3pByRmv72u
126,"Have you seen the victims of #Harvey, who only have the clothes on their backs...and their dogs? #DogsAreFamily🐶❤️ https://t.co/LuEW7moVtG"
127,"Feeling helpless. Packing up baby clothes, diapers, wipes, blankets is helping. In the Heights? Join me. I'll get them there. #Harvey"
128,Now would be a good time to clean out the closets and start donating clothes and household items to @RedCross and o… https://t.co/bN5FYp3cnD
129,Does anyone have an address I can send extra clothes to for victims of #Harvey?Leaving for peace corps &amp; have a LOT of clothes I can't take
130,"I'm sending a delivery of baby clothes and diapers to GRB today. If you are in the #Heights and have some to donate, DM me! #Harvey"
131,Send address(es) where I can send clothes to the Victims from #Harvey please thank you! ❤️
132,On way out... live reports starting at noon. Never packed changes of clothes on a story...in case we can't get back to hotel before #harvey
133,"COMING TOGETHER: @UHouston BBall @CoachSampsonUH calls for clothes for #Harvey victims. @Creighton, @UNLincoln and… https://t.co/SgnP5WsmTg"
134,What are the best groups doing animal rescues? Do they need supplies? I'm sending clothes and can collect a 2nd box… https://t.co/AAVTEm45ng
135,"If you have a dollar there is plenty to share. Donate time, money, clothes, prayers, whatever you can to help those affected by #Harvey."
136,"Twitter: where can I take clothes/shoes donations to for #harvey victims?
Cc @choose901 @ilovememphis"
137,@American Red Cross looking to donate clothes and food #Harvey  NJ  people all over the U.S. helped during #superstormSandy pay it forward
138,@redCross Need to know where I can drop off food and clothes for #Harvey in Middlesex county NJ
139,"I hope all dealing with #Harvey find dry clothes, a warm bed, &amp; all the help they need. Watermelon Slim Black Water https://t.co/8vsp16e5jg"
140,@FLOTUS statement regarding #Harvey was classy and appropriate. People need to chill about her clothes and listen to her powerful words.
141,@LLBean can you help #Houston kids with backpacks and school clothes? #Harvey https://t.co/y8tpuVvN1r
142,"@hm can you help #Houston kids with clothes, socks, and undergarments for school? #Harvey https://t.co/y8tpuVvN1r"
143,"@Burlington can you help #Houston kids with clothes, socks and underwear for school? #Harvey https://t.co/y8tpuVvN1r"
144,"@OldNavy can you help #Houston kids with clothes, socks and undergarments for school? #Harvey https://t.co/y8tpuVvN1r"
145,@Carters can you help #Houston kids with clothes and shoes for school? #Harvey https://t.co/y8tpuVvN1r
146,@Macys can you help #Houston kids with clothes for school? #Harvey https://t.co/y8tpuVvN1r
147,@RedCross Any suggestions on where to send donations of kids' clothes and toys for those who lost everything? #HelpforHouston #Harvey
148,"Many shelters are asking for diapers, pads, clothes, baby clothes, baby lotion and oil, groceries, etc. Just about anything #Harvey"
149,@TonySpeak @donlemon @SMShowHappyHour @Lawrence The Emperor has no clothes‼️ 🤡45 is all about him! 🤡45wife had 2wea… https://t.co/csAKcu8ClF
150,@tide PLEASE say you're on your way to Houston. Thousands of people need clean clothes #Harvey
151,"@tide Please come to Houston! We have 15,000 people in shelters with just enough clothes for a few days. #Harvey"
152,@tide please help thousands of Houstonians who need clean clothes! #harvey https://t.co/yVzytZtVzc
153,"What is a good address to send resources? Diapers, food, clothes, etc? We want to send via Amazon but don't know where to send them #Harvey"
154,"Anyone in need of food ,medical supplies &amp; clothes in Fort Bend?? Hit my buddy Zaid Ahmed. 24/7. #Houston #Harvey"
155,"I have kids clothes and brand new formula to donate, where can I take it? @SalvationArmyUS #Harvey @kvue @statesman @austintexasgov"
156,".@HoustonISD invites groups &amp; schools to send clothes, school supplies, food and water for their students #Harvey https://t.co/67rD0IHs0j"
157,"After sorting MOUNTAINS of clothing donations after Katrina, when gathering clothes to donate for #harvey, I sorted… https://t.co/HlruPVvfYR"
158,Because her clothes are really what matters during this... my god... #Harvey https://t.co/EQPvQj2Ypt
159,"How can you help other than donating $10 to @RedCross for #harvey victims? I have clothes and toys, where can I send them?"
160,can someone give me some information on where to send clothes to the victims of #harvey ???
161,"I ♥️my brothers and sisters in Texas. I've got clothes to send for those in need but no idea where I can give them?

#Harvey #TexasFlood"
162,"From Allen to Keller, teenagers in North Texas are stepping up to help #Harvey survivors with food/clothes/supplies… https://t.co/bGaiCd3VT9"
163,"@RedCrossHouston Hi Team, I am frm NY n would love to donate clothes that I have to #Harvey flood victims. Please let me know how to help 🙏"
164,@GregGutfeldShow What is an address we can send clothes to #Harvey victims.  The Convention Center?
165,".@ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene su… https://t.co/GUWlPlucqj"
166,".@ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene su… https://t.co/WgdIEVrtO7"
167,".@ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene su… https://t.co/F7LaZKdBJ9"
168,".@ScientologyVM's working night shift helping 5000 sitting in cots giving people clothes, towels, shoes, hygiene su… https://t.co/8cOKtWx7sV"
